PrecNo,PrecName,Tot,D2Pre,D2Sen,D2Att,D2Aud,D2Tre,ROSen,ROAtt,ROAud,ROTre
0061,61 MARION,510,26.94736842105263,32.05128205128205,35.07014028056113,34.95575221238938,36.56387665198238,1.1834319526627168,1.3806706114398382,3.9447731755424043,4.142011834319526
0062,62 MILES EAST,361,28.698224852071007,37.08206686930091,38.74643874643874,39.14373088685015,43.16770186335403,0.5617977528089901,1.1235955056179803,1.1235955056179803,1.6853932584269704
0063,63 MILES WEST,162,26.027397260273972,29.78723404255319,35.03184713375796,35.810810810810814,36.3013698630137,0.6249999999999978,1.8750000000000044,3.749999999999998,3.125
0064,64 PATTON NORTH 1,1838,64.25655976676384,59.92018244013683,59.72067039106145,61.95652173913043,61.655508216676814,0.7662835249042099,1.9704433497536922,3.3388067870826488,3.4482758620689613
0065,65 PATTON NORTH 2,1870,51.38316656856975,46.50766609880749,46.9041095890411,48.79807692307692,47.81021897810219,0.646203554119551,1.6693591814754938,3.7156704361874016,4.038772213247177
0066,66 PATTON SOUTH 1,799,69.24119241192412,63.481675392670155,64.95507060333762,66.47887323943662,65.57610241820768,0.5031446540880502,1.6352201257861632,3.1446540880503138,3.396226415094339
0067,67 PATTON SOUTH 2,1421,70.51482059282371,66.53816499614496,66.08569353667393,68.15550041356492,67.69616026711185,0.990099009900991,2.333804809052331,3.6067892503536036,3.8189533239038176
0068,68 PATTON SOUTH 3,1626,67.66666666666666,61.42949130714746,61.06194690265486,63.98625429553264,63.547486033519554,0.3708281829419069,1.9159456118664986,2.781211372064274,3.152039555006181
0069,69 PENN,502,27.956989247311824,31.521739130434785,34.76482617586912,36.830357142857146,36.5296803652968,-0.20161290322580072,1.4112903225806495,3.0241935483870996,3.0241935483870996
0070,70 POTTER NORTH,796,30.64516129032258,31.491712707182316,33.07392996108949,37.48251748251748,38.787023977433,1.0101010101010055,2.3989898989899006,4.040404040404044,4.040404040404044
0071,71 POTTER SOUTH,1216,35.83406884377759,35.68242640499554,38.44856661045531,40.0184842883549,40.2081362346263,1.3223140495867813,1.9008264462809898,3.8016528925619797,4.628099173553723
0072,72 RUSH NORTH,975,26.10571736785329,31.207289293849662,37.2507869884575,37.00787401574803,38.83161512027492,0.9249743062692661,1.9527235354573458,3.083247687564239,3.3915724563206573
0073,73 RUSH SOUTH,202,25.543478260869566,30.337078651685395,33.66834170854271,40.55555555555556,37.2093023255814,0.5000000000000004,0.5000000000000004,1.5000000000000013,0
0074,74 RUSH EAST,97,35.55555555555556,48.05194805194805,47.87234042553192,53.93258426966292,54.11764705882353,-5.494505494505497,-4.395604395604402,-4.395604395604402,-1.098901098901095
0075,75 RUSH WEST,375,24.45054945054945,29.003021148036257,34.42622950819672,34.4311377245509,37.11656441717792,0.26881720430107503,1.6129032258064502,3.4946236559139754,4.3010752688172005
0076,76 SNOW SHOE EAST,569,26.887661141804784,34.80769230769231,45.07299270072993,45.49098196392786,49.59349593495935,0.7092198581560294,2.659574468085102,4.255319148936165,5.141843971631211
